,Close
2024-09-03,97.75
2024-09-04,99.01
2024-09-05,99.57
2024-09-06,99.56
2024-09-07,99.56
2024-09-08,99.56
2024-09-09,99.99
2024-09-10,100.69
2024-09-11,100.61
2024-09-12,100.14
2024-09-13,100.41
2024-09-14,100.41
2024-09-15,100.41
2024-09-16,101.33
2024-09-17,100.84
2024-09-18,99.59
2024-09-19,99.26
2024-09-20,98.88
2024-09-21,98.88
2024-09-22,98.88
2024-09-23,98.67
2024-09-24,98.65
2024-09-25,97.83
2024-09-26,98.06
2024-09-27,98.57
2024-09-28,98.57
2024-09-29,98.57
2024-09-30,98.1
2024-10-01,98.49
2024-10-02,97.66
2024-10-03,96.74
2024-10-04,95.55
2024-10-05,95.55
2024-10-06,95.55
2024-10-07,94.83
2024-10-08,94.99
2024-10-09,94.45
2024-10-10,94.08
2024-10-11,93.7
2024-10-12,93.7
2024-10-13,93.7
2024-10-14,93.77
2024-10-15,94.91
2024-10-16,95.31
2024-10-17,93.8
2024-10-18,93.87
2024-10-19,93.87
2024-10-20,93.87
2024-10-21,92.23
2024-10-22,92.32
2024-10-23,92.07
2024-10-24,92.66
2024-10-25,92.14
2024-10-26,92.14
2024-10-27,92.14
2024-10-28,91.89
2024-10-29,92.03
2024-10-30,92.3
2024-10-31,92.45
2024-11-01,90.84
2024-11-02,90.84
2024-11-03,90.84
2024-11-04,92.25
2024-11-05,92.74
2024-11-06,90.2
2024-11-07,91.33
2024-11-08,92.49
2024-11-09,92.49
2024-11-10,92.49
2024-11-11,92.04
2024-11-12,90.66
2024-11-13,89.8
2024-11-14,90.32
2024-11-15,90.08
2024-11-16,90.08
2024-11-17,90.08
2024-11-18,90.24
2024-11-19,90.7
2024-11-20,90.41
2024-11-21,90.34
2024-11-22,90.39
2024-11-23,90.39
2024-11-24,90.39
2024-11-25,92.73
2024-11-26,92.37
2024-11-27,93.01
2024-11-28,93.01
2024-11-29,93.97
2024-11-30,93.97
2024-12-01,93.97
2024-12-02,93.87
2024-12-03,93.06
2024-12-04,94.06
2024-12-05,94.25
2024-12-06,94.39
2024-12-07,94.39
2024-12-08,94.39
2024-12-09,93.52
2024-12-10,93.08
2024-12-11,92.2
2024-12-12,91.08
2024-12-13,90.15
2024-12-14,90.15
2024-12-15,90.15
2024-12-16,90.42
2024-12-17,90.64
2024-12-18,89.16
2024-12-19,87.81
2024-12-20,88.31
2024-12-21,88.31
2024-12-22,88.31
2024-12-23,87.5
2024-12-24,87.87
2024-12-25,87.87
2024-12-26,87.82
2024-12-27,87.1
2024-12-28,87.1
2024-12-29,87.1
2024-12-30,87.8
2024-12-31,87.33
2025-01-01,87.33
2025-01-02,87.57
2025-01-03,87.29
2025-01-04,87.29
2025-01-05,87.29
2025-01-06,86.9
2025-01-07,85.92
2025-01-08,86.03
2025-01-09,86.03
2025-01-10,85.46
2025-01-11,85.46
2025-01-12,85.46
2025-01-13,85.43
2025-01-14,85.29
2025-01-15,86.76
2025-01-16,87.04
2025-01-17,87.19
2025-01-18,87.19
2025-01-19,87.19
2025-01-20,87.19
2025-01-21,87.97
2025-01-22,87.51
2025-01-23,86.83
2025-01-24,87.22
2025-01-25,87.22
2025-01-26,87.22
2025-01-27,88.25
2025-01-28,88.19
2025-01-29,88.01
2025-01-30,88.34
2025-01-31,87.76
2025-02-01,87.76
2025-02-02,87.76
2025-02-03,88.16
2025-02-04,88.43
2025-02-05,89.89
2025-02-06,89.85
2025-02-07,89.27
2025-02-08,89.27
2025-02-09,89.27
2025-02-10,89.0
2025-02-11,88.43
2025-02-12,87.23
2025-02-13,88.68
2025-02-14,89.15
2025-02-15,89.15
2025-02-16,89.15
2025-02-17,89.15
2025-02-18,88.1
2025-02-19,88.21
2025-02-20,88.54
2025-02-21,89.61
2025-02-22,89.61
2025-02-23,89.61
2025-02-24,89.87
2025-02-25,91.42
2025-02-26,91.96
2025-02-27,91.31
2025-02-28,92.43
2025-03-01,92.43
2025-03-02,92.43
2025-03-03,92.57
2025-03-04,91.43
2025-03-05,90.7
2025-03-06,90.4
2025-03-07,90.11
2025-03-08,90.11
2025-03-09,90.11
2025-03-10,91.05
2025-03-11,90.4
2025-03-12,89.86
2025-03-13,90.65
2025-03-14,90.17
2025-03-15,90.17
2025-03-16,90.17
2025-03-17,90.62
2025-03-18,90.71
2025-03-19,91.18
2025-03-20,91.24
2025-03-21,90.7
2025-03-22,90.7
2025-03-23,90.7
2025-03-24,89.77
2025-03-25,89.76
2025-03-26,89.17
2025-03-27,88.91
2025-03-28,90.14
2025-03-29,90.14
2025-03-30,90.14
2025-03-31,91.03
2025-04-01,91.49
2025-04-02,91.43
2025-04-03,91.85
2025-04-04,92.85
2025-04-05,92.85
2025-04-06,92.85
2025-04-07,90.05
2025-04-08,88.35
2025-04-09,88.87
2025-04-10,86.42
2025-04-11,86.89
2025-04-12,86.89
